subject,stimulus_id,prog_item,room_size,absorption,rt_ratio,loop_gain_dB,filter,routing,is_familiarisation,is_repeated,is_src_to_rec,rating,colouration,flutter_echo,asymmetry,curvature,hf_damping,is_box_behnken,zscore
1,155,2,2,1,0,-8,Normal,All LS,0,0,0,77,0.24975596607758474,0.5293134514115192,0.2622449683045602,0.153634903955282,0.40468394358866694,1,1.053849898658213
1,212,2,3,3,1,-8,LPF,Single LS (left),0,0,0,35,0.19981652668590202,0.4791346781658402,0.25959786720987144,0.1882235274131896,0.279086242942195,0,-0.3746781914286886
1,142,2,3,1,1,-8,High Shelf,Single LS (left),0,0,0,3,0.20162263227381397,0.23804974763545428,0.09813705178881117,0.2758516283263889,0.4202364087829676,0,-1.4630805457806135
1,89,2,2,3,1,-8,Normal,Right Wall,0,0,0,44,0.22434183459044452,0.7008554075355148,0.5484015038355895,0.4070076647122891,0.46936984739476406,1,-0.06856502926720968
1,171,2,2,3,1,-1,Normal,Right Wall,0,0,0,16,0.23752456980311074,0.618060755556618,0.6467517742993415,0.4691229133325834,0.4469257256560609,1,-1.020917089325144
1,183,2,2,1,3,-4,High Shelf,Right Wall,0,0,0,58,0.4372824776809449,-0.2692134738202949,0.6133403011475196,0.7171468227344189,0.6669867822594824,0,0.4076110007617575
1,136,1,2,2,3,-4,High Shelf,Right Wall,0,0,0,78,0.3844229156821234,0.13494408913881395,0.847222505908069,0.7151302585804584,0.705580786986707,1,1.0878624722317107
1,108,1,3,1,0,-1,LPF,Single LS (left),0,0,0,11,0.3315145425455928,0.21559326811252377,0.23895639131573745,0.2829778227117872,0.34460844588605705,0,-1.1909799571926323
1,53,1,1,2,3,-4,Normal,Single LS (left),0,0,0,96,0.3352768953825471,0.5090272475188161,0.7129312266359581,0.643424107479809,0.505592995258829,1,1.7000887965546685
1,83,1,2,2,-999,-999,-999,-999,0,0,1,81,0.196528255802601,0.7418228230377769,0.5691380972952244,0.4756551789714445,0.6985805514331518,0,1.1899001929522035
1,181,1,2,1,1,-8,Normal,All LS,0,0,0,37,0.27391946799984485,0.6226984717745528,0.3424014352224828,0.19407787239856467,0.43406566738060254,0,-0.30665304428169327
1,204,1,2,1,1,-1,Normal,Right Wall,0,0,0,5,0.6122477110026356,0.48425827842146124,0.5818263726776081,0.2266420308742093,0.49560804182964724,1,-1.3950553986336183
1,232,1,1,2,1,-8,High Shelf,All LS,0,0,0,46,0.25016837949709486,0.6132348311307925,0.4219909273178196,0.206688588823013,0.7018585113233716,1,-0.0005398821202143674
1,188,2,1,2,-999,-999,-999,-999,0,0,1,25,0.21986529988408712,0.7707830411317393,0.5461352372595366,0.23452584520452147,0.6638980760122365,0,-0.7148039271636651
1,75,2,2,3,0,-8,High Shelf,Single LS (left),0,0,0,10,0.23130567944079056,0.7141906780131986,0.4914541909646611,0.38889713523708935,0.4531460272545287,0,-1.22499253076613
1,14,2,1,3,1,-1,High Shelf,All LS,0,0,0,87,0.49898649774974185,0.3603041698676995,0.6590783126561505,0.5990686759441715,0.6487476224735194,0,1.3939756343931895
1,202,2,2,3,0,-8,Normal,All LS,0,0,0,71,0.20496565241616338,0.7188347094742102,0.5009754064920188,0.4314498430667927,0.41355518494103105,1,0.849774457217227
1,47,2,3,1,3,-1,Normal,Right Wall,0,0,0,0,0.8006741486484596,-0.1384362427376374,0.5916708453322715,0.6896546728898492,0.2826017211786554,0,-1.5651182665011065
1,6,2,1,2,3,-1,High Shelf,All LS,0,0,0,78,0.5213092961872575,-0.16160092839149165,0.5748719021964194,0.6938749977791954,0.7912005930594377,0,1.0878624722317107
1,184,2,2,2,0,-4,High Shelf,Right Wall,0,0,0,54,0.23071614470911728,0.7442400527447205,0.628041756171708,0.4013167824557228,0.6476869012614412,1,0.27156070646776687
1,7,1,1,3,1,-4,High Shelf,All LS,0,0,0,51,0.2770656885064175,0.5381106541471365,0.34494606642711007,0.3955943261181254,0.6425829463731665,1,0.16952298574727392
1,24,1,3,1,-999,-999,-999,-999,0,0,1,17,0.21640253094849843,0.24825962630598072,0.1368772585060822,0.23342775262797477,0.35970676966988413,0,-0.9869045157516464
1,22,1,1,2,0,-4,Normal,Right Wall,0,0,0,85,0.23083871838741338,0.7237851853953172,0.581949025331657,0.30470603332746504,0.687361806740709,1,1.3259504872461942
1,9,1,1,3,0,-4,LPF,Right Wall,0,0,0,37,0.23254212928222642,0.6983074550442708,0.41041589065734646,0.1844849233197109,0.488866780299421,0,-0.30665304428169327
1,82,1,2,2,0,-4,High Shelf,Single LS (left),0,0,0,100,0.19482222776619165,0.7761902690186356,0.5780230660709748,0.4434271099463176,0.5675109585691072,1,1.836139090848659
1,138,1,1,2,0,-4,High Shelf,Single LS (left),0,1,0,23,0.24968808874466988,0.6527499426895864,0.527898176864254,0.2366619901621133,0.656819653928164,0,-0.7828290743106605
1,66,1,2,1,1,-8,Normal,Right Wall,0,0,0,13,0.2596530465316564,0.5629406765180002,0.31311309573700136,0.17975611273276526,0.48421558306176543,1,-1.122954810045637
